company_id,year,category,detail
INDIGO,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
INDIGO,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
INDIGO,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
INDIGO,2022-03,OPM_CROSSCHECK_MISMATCH,source=558.0,computed=97.85
INDIGO,2022-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
INDIGO,2022-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
INDIGO,2022-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
INDIGO,2022-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
INDIGO,2023-03,OPM_CROSSCHECK_MISMATCH,source=6521.0,computed=88.02
INDIGO,2023-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
INDIGO,2023-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=10yr
INDIGO,2023-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
INDIGO,2023-03,CAGR_DECLINE_TO_LOSS,field=eps,window=10yr
INDIGO,2024-03,OPM_CROSSCHECK_MISMATCH,source=16331.0,computed=76.30
INDIGO,2024-03,CAGR_TURNAROUND,field=net_profit,window=3yr
INDIGO,2024-03,CAGR_TURNAROUND,field=eps,window=3yr
INDUSINDBK,2013-03,OPM_CROSSCHECK_MISMATCH,source=286.0,computed=27.88
INDUSINDBK,2014-03,OPM_CROSSCHECK_MISMATCH,source=335.0,computed=30.95
INDUSINDBK,2015-03,OPM_CROSSCHECK_MISMATCH,source=288.0,computed=32.33
INDUSINDBK,2016-03,OPM_CROSSCHECK_MISMATCH,source=329.0,computed=35.28
INDUSINDBK,2017-03,OPM_CROSSCHECK_MISMATCH,source=379.0,computed=39.46
INDUSINDBK,2018-03,OPM_CROSSCHECK_MISMATCH,source=942.0,computed=37.93
INDUSINDBK,2019-03,OPM_CROSSCHECK_MISMATCH,source=-437.0,computed=41.70
INDUSINDBK,2020-03,OPM_CROSSCHECK_MISMATCH,source=-553.0,computed=43.81
INDUSINDBK,2021-03,OPM_CROSSCHECK_MISMATCH,source=-2469.0,computed=55.16
INDUSINDBK,2022-03,OPM_CROSSCHECK_MISMATCH,source=-839.0,computed=51.39
INDUSINDBK,2023-03,OPM_CROSSCHECK_MISMATCH,source=2067.0,computed=42.69
INDUSINDBK,2024-03,OPM_CROSSCHECK_MISMATCH,source=2978.0,computed=38.55
INFY,2016-03,ICR_DEBT_FREE,interest=0.0
INFY,2017-03,ICR_DEBT_FREE,interest=0.0
INFY,2018-03,ICR_DEBT_FREE,interest=0.0
INFY,2019-03,ICR_DEBT_FREE,interest=0.0
IOC,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
IOC,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
IOC,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
IOC,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
IOC,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
IOC,2023-03,CAGR_TURNAROUND,field=eps,window=3yr
IRCTC,2015-03,ICR_DEBT_FREE,interest=0.0
IRCTC,2016-03,ICR_DEBT_FREE,interest=0.0
JINDALSTEL,2016-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
JINDALSTEL,2016-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
JINDALSTEL,2017-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
JINDALSTEL,2017-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
JINDALSTEL,2018-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
JINDALSTEL,2018-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
JINDALSTEL,2019-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
JINDALSTEL,2019-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
JINDALSTEL,2021-03,CAGR_TURNAROUND,field=net_profit,window=3yr
JINDALSTEL,2021-03,CAGR_TURNAROUND,field=net_profit,window=5yr
JINDALSTEL,2021-03,CAGR_TURNAROUND,field=eps,window=3yr
JINDALSTEL,2021-03,CAGR_TURNAROUND,field=eps,window=5yr
JINDALSTEL,2022-03,CAGR_TURNAROUND,field=net_profit,window=3yr
JINDALSTEL,2022-03,CAGR_TURNAROUND,field=net_profit,window=5yr
JINDALSTEL,2022-03,CAGR_TURNAROUND,field=eps,window=3yr
JINDALSTEL,2022-03,CAGR_TURNAROUND,field=eps,window=5yr
JINDALSTEL,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
JINDALSTEL,2023-03,CAGR_TURNAROUND,field=net_profit,window=5yr
JINDALSTEL,2023-03,CAGR_TURNAROUND,field=eps,window=3yr
JINDALSTEL,2023-03,CAGR_TURNAROUND,field=eps,window=5yr
JINDALSTEL,2024-03,CAGR_TURNAROUND,field=net_profit,window=5yr
JINDALSTEL,2024-03,CAGR_TURNAROUND,field=eps,window=5yr
JIOFIN,2023-03,OPM_CROSSCHECK_MISMATCH,source=88.0,computed=86.67
JIOFIN,2023-03,ICR_DEBT_FREE,interest=0.0
JSWSTEEL,2016-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
JSWSTEEL,2016-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
JSWSTEEL,2019-03,CAGR_TURNAROUND,field=net_profit,window=3yr
JSWSTEEL,2019-03,CAGR_TURNAROUND,field=eps,window=3yr
JSWSTEEL,2021-03,CAGR_TURNAROUND,field=net_profit,window=5yr
JSWSTEEL,2021-03,CAGR_TURNAROUND,field=eps,window=5yr
KOTAKBANK,2013-03,OPM_CROSSCHECK_MISMATCH,source=-1789.0,computed=60.92
KOTAKBANK,2014-03,OPM_CROSSCHECK_MISMATCH,source=-1379.0,computed=58.84
KOTAKBANK,2015-03,OPM_CROSSCHECK_MISMATCH,source=-3366.0,computed=72.96
KOTAKBANK,2016-03,OPM_CROSSCHECK_MISMATCH,source=-2263.0,computed=56.57
KOTAKBANK,2017-03,OPM_CROSSCHECK_MISMATCH,source=-3965.0,computed=66.44
KOTAKBANK,2018-03,OPM_CROSSCHECK_MISMATCH,source=-4141.0,computed=66.87
KOTAKBANK,2019-03,OPM_CROSSCHECK_MISMATCH,source=-5114.0,computed=66.23
KOTAKBANK,2020-03,OPM_CROSSCHECK_MISMATCH,source=-5005.0,computed=67.45
KOTAKBANK,2021-03,OPM_CROSSCHECK_MISMATCH,source=-9958.0,computed=90.83
KOTAKBANK,2022-03,OPM_CROSSCHECK_MISMATCH,source=-8512.0,computed=90.98
KOTAKBANK,2023-03,OPM_CROSSCHECK_MISMATCH,source=-5746.0,computed=79.44
KOTAKBANK,2024-03,OPM_CROSSCHECK_MISMATCH,source=-13382.0,computed=83.67
LICI,2019-03,ICR_DEBT_FREE,interest=0.0
LICI,2020-03,ICR_DEBT_FREE,interest=0.0
LICI,2021-03,ICR_DEBT_FREE,interest=0.0
LICI,2022-03,ICR_DEBT_FREE,interest=0.0
M&M,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
M&M,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
M&M,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
NAUKRI,2017-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
NAUKRI,2017-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
NAUKRI,2018-03,CAGR_TURNAROUND,field=net_profit,window=3yr
NAUKRI,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
NAUKRI,2022-03,CAGR_TURNAROUND,field=net_profit,window=5yr
NAUKRI,2022-03,CAGR_TURNAROUND,field=eps,window=5yr
NAUKRI,2023-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
NAUKRI,2023-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=10yr
NAUKRI,2023-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
NAUKRI,2023-03,CAGR_DECLINE_TO_LOSS,field=eps,window=10yr
PNB,2016-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
PNB,2016-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
PNB,2018-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
PNB,2018-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
PNB,2018-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
PNB,2018-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
PNB,2019-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
PNB,2019-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
PNB,2021-03,CAGR_TURNAROUND,field=net_profit,window=3yr
PNB,2021-03,CAGR_TURNAROUND,field=net_profit,window=5yr
PNB,2021-03,CAGR_TURNAROUND,field=eps,window=3yr
PNB,2021-03,CAGR_TURNAROUND,field=eps,window=5yr
PNB,2022-03,CAGR_TURNAROUND,field=net_profit,window=3yr
PNB,2022-03,CAGR_TURNAROUND,field=eps,window=3yr
PNB,2023-03,CAGR_TURNAROUND,field=net_profit,window=5yr
PNB,2023-03,CAGR_TURNAROUND,field=eps,window=5yr
PNB,2024-03,CAGR_TURNAROUND,field=net_profit,window=5yr
PNB,2024-03,CAGR_TURNAROUND,field=eps,window=5yr
SBILIFE,2020-03,ICR_DEBT_FREE,interest=0.0
SBILIFE,2021-03,ICR_DEBT_FREE,interest=0.0
SBILIFE,2022-03,ICR_DEBT_FREE,interest=0.0
SBIN,2017-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
SBIN,2018-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
SBIN,2018-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
SBIN,2018-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
SBIN,2018-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
SBIN,2020-03,CAGR_TURNAROUND,field=net_profit,window=3yr
SBIN,2021-03,CAGR_TURNAROUND,field=net_profit,window=3yr
SBIN,2021-03,CAGR_TURNAROUND,field=eps,window=3yr
SBIN,2022-03,CAGR_TURNAROUND,field=net_profit,window=5yr
SBIN,2023-03,CAGR_TURNAROUND,field=net_profit,window=5yr
SBIN,2023-03,CAGR_TURNAROUND,field=eps,window=5yr
SUNPHARMA,2024-03,OPM_CROSSCHECK_MISMATCH,source=28.0,computed=26.84
TATACONSUM,2016-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
TATACONSUM,2019-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TATACONSUM,2021-03,CAGR_TURNAROUND,field=net_profit,window=5yr
TATAMOTORS,2019-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
TATAMOTORS,2019-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
TATAMOTORS,2019-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
TATAMOTORS,2019-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
TATAMOTORS,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
TATAMOTORS,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
TATAMOTORS,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
TATAMOTORS,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
TATAMOTORS,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
TATAMOTORS,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
TATAMOTORS,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
TATAMOTORS,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
TATAMOTORS,2022-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
TATAMOTORS,2022-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
TATAMOTORS,2023-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TATAMOTORS,2023-03,CAGR_TURNAROUND,field=eps,window=3yr
TATAMOTORS,2024-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TATAMOTORS,2024-03,CAGR_TURNAROUND,field=net_profit,window=5yr
TATAMOTORS,2024-03,CAGR_TURNAROUND,field=eps,window=3yr
TATAMOTORS,2024-03,CAGR_TURNAROUND,field=eps,window=5yr
TATAPOWER,2017-03,CAGR_TURNAROUND,field=eps,window=3yr
TATAPOWER,2019-03,CAGR_TURNAROUND,field=eps,window=5yr
TATAPOWER,2024-03,CAGR_TURNAROUND,field=eps,window=10yr
TATASTEEL,2017-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
TATASTEEL,2017-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
TATASTEEL,2018-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TATASTEEL,2018-03,CAGR_TURNAROUND,field=net_profit,window=5yr
TATASTEEL,2018-03,CAGR_TURNAROUND,field=eps,window=3yr
TATASTEEL,2018-03,CAGR_TURNAROUND,field=eps,window=5yr
TATASTEEL,2019-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TATASTEEL,2020-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TATASTEEL,2020-03,CAGR_TURNAROUND,field=net_profit,window=5yr
TATASTEEL,2020-03,CAGR_TURNAROUND,field=eps,window=3yr
TATASTEEL,2020-03,CAGR_TURNAROUND,field=eps,window=5yr
TATASTEEL,2021-03,CAGR_TURNAROUND,field=net_profit,window=5yr
TATASTEEL,2022-03,CAGR_TURNAROUND,field=net_profit,window=5yr
TATASTEEL,2022-03,CAGR_TURNAROUND,field=eps,window=5yr
TATASTEEL,2023-03,CAGR_TURNAROUND,field=net_profit,window=10yr
TATASTEEL,2023-03,CAGR_TURNAROUND,field=eps,window=10yr
TATASTEEL,2024-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
TATASTEEL,2024-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
TATASTEEL,2024-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=10yr
TATASTEEL,2024-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
TATASTEEL,2024-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
TATASTEEL,2024-03,CAGR_DECLINE_TO_LOSS,field=eps,window=10yr
TRENT,2016-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TRENT,2016-03,CAGR_TURNAROUND,field=eps,window=3yr
TRENT,2017-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TRENT,2017-03,CAGR_TURNAROUND,field=eps,window=3yr
TRENT,2018-03,CAGR_TURNAROUND,field=net_profit,window=5yr
TRENT,2018-03,CAGR_TURNAROUND,field=eps,window=5yr
TRENT,2019-03,CAGR_TURNAROUND,field=net_profit,window=5yr
TRENT,2019-03,CAGR_TURNAROUND,field=eps,window=5yr
TRENT,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
TRENT,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
TRENT,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
TRENT,2021-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
TRENT,2023-03,CAGR_TURNAROUND,field=net_profit,window=10yr
TRENT,2023-03,CAGR_TURNAROUND,field=eps,window=10yr
TRENT,2024-03,CAGR_TURNAROUND,field=net_profit,window=3yr
TRENT,2024-03,CAGR_TURNAROUND,field=net_profit,window=10yr
TRENT,2024-03,CAGR_TURNAROUND,field=eps,window=3yr
TRENT,2024-03,CAGR_TURNAROUND,field=eps,window=10yr
