company_id,metric,value,z_score,sector,sector_mean,sector_std
INDIGO,return_on_equity_pct,892.568306010929,3.47,Consumer Discretionary,86.72,232.1
INDIGO,asset_turnover,56.38625204582652,3.47,Consumer Discretionary,5.16,14.75
ADANIGREEN,debt_to_equity,6.595281675818589,3.14,Energy,1.46,1.63
PNB,return_on_equity_pct,61.320565191187306,3.25,Financials,19.01,13.02
BAJAJHLDNG,net_profit_margin_pct,432.7262044653349,4.5,Financials,38.24,87.71
PNB,asset_turnover,1.5070262950629396,4.23,Financials,0.2,0.31
